player_key,nfl_player_id,nfl_name,nfl_rookie_season,cfb_projected_ppr,avg_weekly_ppr,n_weeks
adrian martinez,00-0038658,Adrian Martinez,2025,3.2323640407524215,-0.1,1
aidan o connell,00-0038579,Aidan O'Connell,2023,6.670032649190562,11.4381818181818,11
aj mccarron,00-0031288,AJ McCarron,2015,6.326850132183426,8.08,8
andrew luck,00-0029668,Andrew Luck,2012,14.776160148382287,16.9105882352941,17
andy dalton,00-0027973,Andy Dalton,2011,10.798892608846824,12.5352941176471,17
anthony brown,00-0037175,Anthony Brown,2022,4.38359411078925,2.79,2
anthony richardson,00-0039164,Anthony Richardson,2023,14.600938539433091,18.17,4
austin davis,00-0028957,Austin Davis,2014,7.337169126432379,11.96,9
bailey zappe,00-0038108,Bailey Zappe,2022,8.339590494078328,9.91,4
baker mayfield,00-0034855,Baker Mayfield,2018,15.669264457025802,17.15,14
ben dinucci,00-0036384,Ben DiNucci,2020,3.9791577084874223,3.48,2
blaine gabbert,00-0027948,Blaine Gabbert,2011,11.515226358922721,7.75733333333333,15
blake bortles,00-0031407,Blake Bortles,2014,13.10079142568789,12.0157142857143,14
bo nix,00-0039732,Bo Nix,2024,13.725654684303423,18.4033333333333,18
brady cook,00-0040398,Brady Cook,2025,5.98344301778429,5.692,5
brandon allen,00-0032434,Brandon Allen,2019,7.146601414253989,10.8333333333333,3
brandon weeden,00-0029677,Brandon Weeden,2012,9.774237270434314,11.04,15
brett hundley,00-0031589,Brett Hundley,2016,4.604044135243094,-0.024,5
brett rypien,00-0034955,Brett Rypien,2020,6.988436252795739,5.65,2
brock osweiler,00-0029682,Brock Osweiler,2012,5.415475181317961,-0.164,5
brock purdy,00-0037834,Brock Purdy,2022,6.667465159949757,12.4516666666667,12
bryce perkins,00-0035939,Bryce Perkins,2022,3.9229035476148826,3.088,5
bryce petty,00-0031568,Bryce Petty,2016,6.34786607162869,5.37666666666667,6
bryce young,00-0039150,Bryce Young,2023,13.476029009348858,9.77375,16
c j beathard,00-0033936,C.J. Beathard,2017,7.250015660203957,14.8,6
c j stroud,00-0039163,C.J. Stroud,2023,15.24039318003659,18.0576470588235,17
caleb williams,00-0039918,Caleb Williams,2024,14.065316697504963,14.9729411764706,17
cardale jones,00-0033098,Cardale Jones,2016,4.321717138359082,1.74,1
carson wentz,00-0032950,Carson Wentz,2016,6.319708614280662,13.37375,16
case keenum,00-0028986,Case Keenum,2013,8.566153818643796,12.95,8
chad kelly,00-0033597,Chad Kelly,2018,3.3003663935634644,-0.1,1
chris oladokun,00-0037324,Chris Oladokun,2024,3.423392281014501,0.5,1
christian ponder,00-0027950,Christian Ponder,2011,10.667890475617584,10.7290909090909,11
clayton tune,00-0038582,Clayton Tune,2023,5.061381954069595,1.24666666666667,6
cody kessler,00-0033104,Cody Kessler,2016,7.146069222743973,8.55555555555556,9
colin kaepernick,00-0027974,Colin Kaepernick,2011,7.423975124221206,0.6,2
connor cook,00-0032893,Connor Cook,2016,7.1472043174229345,5.22,2
connor shaw,00-0030661,Connor Shaw,2014,4.7769102340852525,3.98,1
cooper rush,00-0033662,Cooper Rush,2017,4.036786453638089,0.69,2
dak prescott,00-0033077,Dak Prescott,2016,7.22722907494355,18.3682352941176,17
daniel jones,00-0035710,Daniel Jones,2019,11.593635165106772,16.5369230769231,13
david blough,00-0035040,David Blough,2019,7.657925349894429,11.072,5
david fales,00-0031076,David Fales,2016,5.592557920682421,0.88,1
davis mills,00-0036898,Davis Mills,2021,7.774247937187385,12.0738461538462,13
davis webb,00-0033550,Davis Webb,2021,4.2762643860517775,-0.3,1
derek carr,00-0031280,Derek Carr,2014,10.190307401114026,12.0,16
deshaun watson,00-0033537,Deshaun Watson,2017,13.662003373420784,24.1228571428571,7
deshone kizer,00-0033899,DeShone Kizer,2017,8.285693051741282,11.7106666666667,15
desmond ridder,00-0038122,Desmond Ridder,2022,8.647796963416296,9.68,4
devlin hodges,00-0035577,Devlin Hodges,2019,6.222959799865631,6.415,8
dillon gabriel,00-0040704,Dillon Gabriel,2025,6.640477409467427,7.008,10
dominique davis,00-0028863,Dominique Davis,2013,4.392269452034089,3.36,1
dorian thompson robinson,00-0038583,Dorian Thompson-Robinson,2023,4.858254739435928,3.15714285714286,7
drake maye,00-0039851,Drake Maye,2024,14.21215844751563,13.6261538461538,13
drew lock,00-0035704,Drew Lock,2019,11.133745919530883,13.6,5
dwayne haskins,00-0035232,Dwayne Haskins,2019,10.525253412585872,8.52222222222222,9
easton stick,00-0035282,Easton Stick,2020,3.1589395118768038,-0.04,1
ej manuel,00-0030526,EJ Manuel,2013,11.120511558430714,13.348,10
gardner minshew,00-0035289,Gardner Minshew,2019,9.079878840846161,16.3742857142857,14
garrett gilbert,00-0031395,Garrett Gilbert,2018,4.265663176391512,1.6,1
geno smith,00-0030565,Geno Smith,2013,11.28348821750711,12.17125,16
greg mcelroy,00-0028146,Greg McElroy,2012,6.817319573525031,5.78,2
hendon hooker,00-0038550,Hendon Hooker,2024,6.8262864453560965,0.893333333333333,3
ian book,00-0036929,Ian Book,2021,3.584871056483685,2.0,1
j j mccarthy,00-0039923,J.J. McCarthy,2025,12.530414597817003,12.538,10
jacob eason,00-0036226,Jacob Eason,2021,3.7494411955510882,-1.0,1
jacoby brissett,00-0033119,Jacoby Brissett,2016,6.078000538039042,9.43333333333333,3
jake browning,00-0035100,Jake Browning,2023,8.398865700336913,16.0488888888889,9
jake fromm,00-0036197,Jake Fromm,2021,5.034404565534489,3.63333333333333,3
jake haener,00-0038998,Jake Haener,2024,4.688432128522937,1.655,8
jake locker,00-0027946,Jake Locker,2011,11.990574293291406,9.856,5
jake luton,00-0036312,Jake Luton,2020,6.967756554800228,9.42,3
